nohup: ignoring input
Initializing best model from attempt_14b_epoch032.pt
Initializing training trunk from attempt_14b_epoch032.pt

================================================================================
SELF-PLAY TRAINING PIPELINE
================================================================================
Work directory: selfplay_run10
Best model: selfplay_run10/models/best_model.pt
Replay buffer: selfplay_run10/replay_buffer.csv
Device: cuda

Configuration:
  Iterations: 50
  Games per iteration: 1000
  Training batches: 2000
  Batch size: 256
  Learning rate: 3e-05
  Evaluation games: 500
  Win threshold: 52%
  Self-play simulations: 800
  Dirichlet noise: alpha=0.3, epsilon=0.25
  Eval simulations: 800
  cpuct: 1.25
  MCTS leaf-parallel batch: 128
  NN forward batch: 512
  Early-exit min sims: 400
  Parallel self-play workers: 24
  Parallel eval workers: 24
  Pre-fill iterations: 4
  Pre-fill cache dir: prefill_cache_800_direchlet_cpucut_1_25
================================================================================


================================================================================
PRE-FILL PHASE (4 iterations of self-play, no training)
  Prefill data dir: prefill_cache_800_direchlet_cpucut_1_25
================================================================================


[PREFILL 1/4] Generating 1000 self-play games -> prefill_cache_800_direchlet_cpucut_1_25/prefill_0000.csv
Generating 1000 self-play games...
MCTS config: simulations=800, batch=128, cpuct=1.25
Exploration: dirichlet_alpha=0.3, dirichlet_epsilon=0.25
Parallel workers: 24
Output: prefill_cache_800_direchlet_cpucut_1_25/prefill_0000.csv

[202/1000] Game 201: 1/2-1/2, 102 positions, 22.3s, 4.6 moves/s
[203/1000] Game 209: 0-1, 78 positions, 18.0s, 4.3 moves/s
[204/1000] Game 210: 0-1, 76 positions, 18.3s, 4.2 moves/s
[205/1000] Game 218: 1-0, 69 positions, 13.3s, 5.2 moves/s
[206/1000] Game 216: 0-1, 66 positions, 15.7s, 4.2 moves/s
[207/1000] Game 198: 1/2-1/2, 145 positions, 30.0s, 4.8 moves/s
[208/1000] Game 212: 1-0, 83 positions, 18.8s, 4.4 moves/s
[209/1000] Game 203: 1/2-1/2, 114 positions, 25.7s, 4.4 moves/s
[210/1000] Game 205: 1/2-1/2, 125 positions, 23.8s, 5.3 moves/s
[211/1000] Game 207: 1-0, 105 positions, 23.4s, 4.5 moves/s
[212/1000] Game 217: 1/2-1/2, 70 positions, 17.7s, 4.0 moves/s
[213/1000] Game 215: 1/2-1/2, 88 positions, 20.5s, 4.3 moves/s
[214/1000] Game 220: 1-0, 67 positions, 16.3s, 4.1 moves/s
[215/1000] Game 213: 1-0, 83 positions, 22.4s, 3.7 moves/s
[216/1000] Game 214: 1/2-1/2, 105 positions, 22.4s, 4.7 moves/s
[217/1000] Game 206: 1/2-1/2, 129 positions, 28.1s, 4.6 moves/s
[218/1000] Game 225: 0-1, 44 positions, 13.4s, 3.3 moves/s
[219/1000] Game 211: 1/2-1/2, 155 positions, 30.1s, 5.1 moves/s
[220/1000] Game 222: 0-1, 74 positions, 17.6s, 4.2 moves/s
[221/1000] Game 221: 0-1, 98 positions, 20.6s, 4.7 moves/s
[222/1000] Game 219: 1/2-1/2, 111 positions, 26.3s, 4.2 moves/s
[223/1000] Game 223: 1/2-1/2, 75 positions, 17.5s, 4.3 moves/s
[224/1000] Game 226: 1/2-1/2, 90 positions, 20.9s, 4.3 moves/s
[225/1000] Game 208: 0-1, 162 positions, 39.0s, 4.1 moves/s
[226/1000] Game 235: 1/2-1/2, 66 positions, 16.6s, 4.0 moves/s
[227/1000] Game 231: 1-0, 89 positions, 20.0s, 4.5 moves/s
[228/1000] Game 239: 1-0, 79 positions, 17.8s, 4.4 moves/s
[229/1000] Game 233: 1/2-1/2, 107 positions, 22.3s, 4.8 moves/s
[230/1000] Game 236: 0-1, 86 positions, 19.7s, 4.4 moves/s
[231/1000] Game 228: 1-0, 103 positions, 24.8s, 4.1 moves/s
[232/1000] Game 224: 1-0, 127 positions, 28.2s, 4.5 moves/s
[233/1000] Game 230: 1/2-1/2, 113 positions, 24.2s, 4.7 moves/s
[234/1000] Game 241: 1-0, 81 positions, 18.8s, 4.3 moves/s
[235/1000] Game 234: 1-0, 97 positions, 24.7s, 3.9 moves/s
[236/1000] Game 229: 1/2-1/2, 119 positions, 27.2s, 4.4 moves/s
[237/1000] Game 227: 1-0, 145 positions, 29.4s, 4.9 moves/s
[238/1000] Game 237: 1-0, 119 positions, 24.3s, 4.9 moves/s
[239/1000] Game 232: 1/2-1/2, 127 positions, 28.9s, 4.4 moves/s
[240/1000] Game 243: 0-1, 82 positions, 18.4s, 4.4 moves/s
[241/1000] Game 250: 1/2-1/2, 61 positions, 13.4s, 4.6 moves/s
[242/1000] Game 240: 1/2-1/2, 136 positions, 27.3s, 5.0 moves/s
[243/1000] Game 238: 1-0, 129 positions, 28.9s, 4.5 moves/s
[244/1000] Game 246: 1/2-1/2, 88 positions, 20.9s, 4.2 moves/s
[245/1000] Game 242: 1/2-1/2, 122 positions, 24.6s, 5.0 moves/s
[246/1000] Game 247: 0-1, 96 positions, 21.5s, 4.5 moves/s
[247/1000] Game 256: 1-0, 65 positions, 12.4s, 5.3 moves/s
[248/1000] Game 244: 0-1, 96 positions, 24.9s, 3.9 moves/s
[249/1000] Game 248: 1/2-1/2, 108 positions, 22.5s, 4.8 moves/s
[250/1000] Game 258: 1/2-1/2, 55 positions, 15.0s, 3.7 moves/s
[251/1000] Game 255: 1-0, 77 positions, 18.5s, 4.2 moves/s
[252/1000] Game 245: 0-1, 138 positions, 29.9s, 4.6 moves/s
[253/1000] Game 254: 0-1, 86 positions, 19.7s, 4.4 moves/s
[254/1000] Game 249: 1-0, 133 positions, 27.7s, 4.8 moves/s
[255/1000] Game 251: 1-0, 117 positions, 26.0s, 4.5 moves/s
[256/1000] Game 267: 1-0, 65 positions, 13.1s, 5.0 moves/s
[257/1000] Game 260: 0-1, 116 positions, 21.1s, 5.5 moves/s
[258/1000] Game 268: 1-0, 73 positions, 14.6s, 5.0 moves/s
[259/1000] Game 253: 1-0, 135 positions, 26.4s, 5.1 moves/s
[260/1000] Game 252: 1/2-1/2, 142 positions, 27.4s, 5.2 moves/s
[261/1000] Game 259: 0-1, 102 positions, 24.3s, 4.2 moves/s
[262/1000] Game 266: 0-1, 66 positions, 18.0s, 3.7 moves/s
